,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
0,1,2021-11-09,,Jackson State,W,71,47,24,55,.436,9,21,.429,14,21,.667,15,43,16,12,4,18,14,,19,51,.373,7,16,.438,2,5,.400,5,24,7,11,4,19,22
1,2,2021-11-12,,Arkansas State,W,92,53,32,70,.457,5,25,.200,23,38,.605,22,54,14,5,5,13,18,,18,59,.305,3,16,.188,14,16,.875,6,27,9,4,2,18,29
2,3,2021-11-15,@,Marquette,L,66,67,25,66,.379,9,24,.375,7,11,.636,18,48,13,7,2,23,24,,22,54,.407,5,17,.294,18,31,.581,5,27,9,10,7,14,16
3,4,2021-11-22,N,Cincinnati,L,51,71,16,57,.281,3,22,.136,16,21,.762,13,33,10,8,3,12,16,,24,58,.414,6,21,.286,17,20,.850,12,36,6,8,5,10,19
4,5,2021-11-23,N,Kansas State,W,72,64,25,48,.521,12,26,.462,10,20,.500,8,37,20,2,1,18,18,,25,65,.385,6,21,.286,8,9,.889,5,25,9,11,1,3,20
5,6,2021-11-26,,Texas-Rio Grande Valley,W,94,85,33,53,.623,8,19,.421,20,24,.833,6,29,21,4,5,13,17,,29,61,.475,6,20,.300,21,27,.778,8,25,9,7,2,8,23
6,7,2021-11-29,,Notre Dame,W,82,72,28,53,.528,11,27,.407,15,19,.789,8,31,19,2,2,12,16,,28,61,.459,8,22,.364,8,12,.667,8,27,10,5,2,8,19
7,8,2021-12-03,,Rutgers,W,86,51,32,66,.485,12,33,.364,10,11,.909,12,45,19,8,6,10,10,,21,68,.309,7,17,.412,2,4,.500,11,27,14,5,2,13,15
8,9,2021-12-06,@,Iowa,W,87,83,26,59,.441,11,25,.440,24,28,.857,16,47,16,4,0,14,19,,31,69,.449,8,22,.364,13,19,.684,9,20,16,9,5,4,21
9,10,2021-12-11,,Arizona,L,79,83,27,68,.397,16,36,.444,9,14,.643,13,36,14,7,4,15,15,,32,70,.457,7,19,.368,12,18,.667,14,39,12,10,5,14,17
10,11,2021-12-18,,Saint Francis (PA),W,106,48,38,58,.655,18,34,.529,12,15,.800,11,39,21,3,4,9,15,,16,61,.262,6,18,.333,10,16,.625,14,22,6,4,0,8,10
11,12,2021-12-22,N,Missouri,W,88,63,33,58,.569,12,25,.480,10,15,.667,8,36,20,6,0,14,15,,23,63,.365,6,23,.261,11,13,.846,9,27,6,8,6,12,17
12,13,2022-01-04,@,Minnesota,W,76,53,27,59,.458,6,14,.429,16,19,.842,10,47,18,3,6,13,14,,22,62,.355,3,15,.200,6,13,.462,4,23,10,11,2,6,16
13,14,2022-01-06,,Maryland,W,76,64,28,68,.412,8,30,.267,12,18,.667,17,41,9,4,2,6,13,,23,50,.460,6,16,.375,12,20,.600,4,26,9,5,2,7,15
14,15,2022-01-11,@,Nebraska,W,81,71,31,66,.470,7,19,.368,12,19,.632,14,38,13,6,8,9,15,,27,59,.458,6,12,.500,11,14,.786,6,31,13,4,2,11,15
15,16,2022-01-14,,Michigan,W,68,53,22,47,.468,6,20,.300,18,21,.857,9,30,11,2,2,13,14,,22,60,.367,1,10,.100,8,14,.571,15,30,5,7,1,11,20
16,17,2022-01-17,,Purdue,L(2 OT),88,96,32,77,.416,12,33,.364,12,15,.800,5,35,15,5,2,6,23,,31,68,.456,8,18,.444,26,32,.813,9,42,13,3,3,12,15
17,18,2022-01-21,@,Maryland,L,65,81,23,59,.390,11,35,.314,8,10,.800,10,28,16,7,2,12,18,,28,53,.528,4,11,.364,21,25,.840,7,29,9,9,2,10,10
18,19,2022-01-25,,Michigan State,W,56,55,22,53,.415,9,29,.310,3,7,.429,4,25,14,2,2,6,17,,19,55,.345,3,14,.214,14,17,.824,11,38,9,5,6,10,15
19,20,2022-01-29,@,Northwestern,W,59,56,22,51,.431,5,18,.278,10,15,.667,5,34,14,4,4,13,15,,20,56,.357,6,18,.333,10,12,.833,5,26,7,6,2,8,20
20,21,2022-02-02,,Wisconsin,W,80,67,32,62,.516,7,22,.318,9,18,.500,7,35,21,5,2,6,14,,26,68,.382,3,24,.125,12,15,.800,12,38,8,3,0,6,19
21,22,2022-02-05,@,Indiana,W,74,57,23,48,.479,10,23,.435,18,26,.692,3,29,13,5,5,8,17,,20,56,.357,3,13,.231,14,18,.778,8,28,11,4,3,10,20
22,23,2022-02-08,@,Purdue,L,68,84,24,58,.414,8,26,.308,12,15,.800,7,26,13,4,2,9,20,,31,61,.508,9,22,.409,13,18,.722,8,30,16,5,5,9,16
23,24,2022-02-13,,Northwestern,W,73,66,25,58,.431,10,29,.345,13,19,.684,8,43,15,7,3,19,14,,24,62,.387,7,24,.292,11,18,.611,3,27,10,12,2,13,22
24,25,2022-02-16,@,Rutgers,L,59,70,22,58,.379,6,23,.261,9,16,.563,7,26,15,8,3,9,16,,28,59,.475,5,15,.333,9,14,.643,13,42,14,9,2,13,16
25,26,2022-02-19,@,Michigan State,W,79,74,27,60,.450,8,27,.296,17,23,.739,11,33,17,6,1,8,17,,29,62,.468,8,21,.381,8,12,.667,9,32,18,5,4,11,20
26,27,2022-02-24,,Ohio State,L,83,86,30,63,.476,12,25,.480,11,17,.647,7,24,15,7,0,9,22,,27,52,.519,6,12,.500,26,32,.813,4,27,7,3,5,11,18
27,28,2022-02-27,@,Michigan,W,93,85,34,60,.567,10,17,.588,15,25,.600,7,26,13,4,0,9,20,,29,57,.509,5,15,.333,22,25,.880,6,25,12,6,2,11,19
28,29,2022-03-03,,Penn State,W,60,55,18,50,.360,9,28,.321,15,17,.882,9,28,11,6,3,8,9,,23,55,.418,8,25,.320,1,3,.333,4,27,8,4,0,9,17
29,30,2022-03-06,,Iowa,W,74,72,26,62,.419,8,22,.364,14,18,.778,10,38,16,2,5,11,19,,27,62,.435,8,21,.381,10,22,.455,10,34,13,5,4,10,19
30,31,2022-03-11,N,Indiana,L,63,65,20,56,.357,8,22,.364,15,23,.652,9,34,15,5,5,7,13,,26,56,.464,3,10,.300,10,13,.769,3,33,16,4,2,7,19
31,32,2022-03-18,N,Chattanooga,W,54,53,19,49,.388,3,17,.176,13,22,.591,9,38,13,5,4,14,16,,21,65,.323,4,15,.267,7,14,.500,15,39,6,8,0,10,21
32,33,2022-03-20,N,Houston,L,53,68,17,50,.340,6,25,.240,13,16,.813,6,27,11,6,2,15,15,,25,59,.424,6,22,.273,12,17,.706,15,38,10,8,6,8,16
