,Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
23,2023-02-20,2:00p,REG,Rutgers,24.0,True,Big Ten,14.58,W,69,60,17,7,True,1,0,27,56,0.482,10,26,0.385,14,26,0.538,10,37,8,4,2,8,18,27,57,0.474,6,17,0.353,9,15,0.6,6,32,14,5,1,8,19
24,2023-02-11,7:00p,REG,Penn State,,False,Big Ten,13.04,L,81,93,17,8,False,0,1,27,56,0.482,5,20,0.25,10,15,0.667,10,37,9,3,7,16,11,24,69,0.348,4,16,0.25,8,12,0.667,12,31,7,9,6,8,14
25,2023-02-14,12:00p,REG,Indiana,14.0,True,Big Ten,14.94,L,68,71,17,9,False,0,2,29,61,0.475,7,27,0.259,16,20,0.8,7,30,13,7,3,8,17,33,57,0.579,12,28,0.429,15,19,0.789,3,27,13,3,1,7,16
26,2023-02-18,9:00p,REG,Minnesota,,False,Big Ten,-0.3,W,78,69,18,9,True,1,0,24,61,0.393,6,20,0.3,14,18,0.778,12,36,9,9,9,11,16,29,66,0.439,5,11,0.455,8,13,0.615,13,35,15,8,7,13,17
27,2023-02-23,9:00p,REG,Northwestern,21.0,True,Big Ten,13.68,W,66,62,19,9,True,2,0,22,50,0.44,7,24,0.292,15,21,0.714,8,36,6,6,6,16,16,22,63,0.349,9,21,0.429,9,12,0.75,10,29,7,11,2,10,18
28,2023-02-26,12:00p,REG,Ohio State,,False,Big Ten,12.99,L,60,72,19,10,False,0,1,22,61,0.361,6,29,0.207,10,14,0.714,7,25,8,4,4,11,13,30,56,0.536,3,14,0.214,9,10,0.9,6,34,10,6,3,12,15
29,2023-03-02,7:00p,REG,Michigan,,False,Big Ten,12.43,W,91,87,20,10,True,1,0,30,72,0.417,5,18,0.278,26,34,0.765,12,43,9,9,4,7,19,31,70,0.443,8,21,0.381,17,24,0.708,9,45,8,1,7,12,25
30,2023-03-05,12:30p,REG,Purdue,5.0,True,Big Ten,18.23,L,71,76,20,11,False,0,1,24,50,0.48,7,22,0.318,16,24,0.667,10,28,13,8,7,14,23,25,53,0.472,6,18,0.333,20,28,0.714,12,28,15,11,2,11,17
31,2023-03-09,6:30p,CTOURN,Penn State,,False,Big Ten,13.04,L,76,79,20,12,False,0,2,29,64,0.453,6,21,0.286,12,19,0.632,11,31,15,7,4,7,21,29,56,0.518,8,21,0.381,13,22,0.591,8,31,13,4,3,9,20
32,2023-03-16,4:30p,NCAA,Arkansas,,False,SEC,15.99,L,63,73,20,13,False,0,3,20,52,0.385,6,22,0.273,17,26,0.654,2,29,10,10,5,16,19,24,63,0.381,3,11,0.273,22,29,0.759,10,39,4,12,4,11,19
