,Player,#,Class,Pos,Height,Weight,Hometown,High School,RSCI Top 100,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Ayo Dosunmu,11,JR,G,6-5,200,"Chicago, IL",Morgan Park HS,32 (2018),28,28,35.1,7.5,15.4,0.488,1.1,2.9,0.39,6.4,12.4,0.511,0.526,4.0,5.1,0.783,1.1,5.2,6.3,5.3,1.1,0.2,3.3,2.1,20.1
1,Kofi Cockburn,21,SO,C,7-0,285,"Kingston, Jamaica",Oak Hill Academy,43 (2019),31,31,27.0,6.9,10.5,0.654,0.0,0.0,,6.9,10.5,0.654,0.654,3.9,7.0,0.553,3.4,6.1,9.5,0.2,0.3,1.3,1.7,2.5,17.7
2,Trent Frazier,1,SR,G,6-2,175,"Wellington, FL",Wellington High School,,31,31,33.7,3.2,7.9,0.4,1.8,4.9,0.362,1.4,3.0,0.462,0.512,2.1,2.5,0.831,0.2,2.6,2.7,2.7,1.3,0.1,1.5,2.5,10.2
3,Andre Curbelo,5,FR,G,6-1,175,"Vega Baja, Puerto Rico",Long Island Lutheran HS,45 (2020),31,0,21.5,3.5,7.1,0.498,0.2,1.0,0.161,3.4,6.1,0.553,0.509,1.9,2.6,0.728,0.5,3.5,4.0,4.2,0.9,0.1,2.6,2.7,9.1
4,Adam Miller,44,FR,G,6-3,180,"Peoria, IL",Morgan Park HS,29 (2020),31,31,25.5,2.9,7.4,0.391,1.7,4.9,0.34,1.2,2.5,0.494,0.504,0.8,1.2,0.684,0.3,2.5,2.8,0.8,0.6,0.0,1.1,2.3,8.3
5,Da'Monte Williams,20,SR,G,6-3,215,"Peoria, IL",Manual HS,,31,17,24.9,1.7,3.3,0.515,1.1,2.1,0.547,0.5,1.2,0.459,0.688,1.0,1.5,0.681,1.0,4.3,5.3,1.7,0.8,0.3,0.7,2.0,5.5
6,Giorgi Bezhanishvili,15,JR,F,6-9,245,"Rustavi, Georgia",The Patrick School,,31,0,14.5,2.2,4.0,0.545,0.1,0.2,0.5,2.1,3.8,0.547,0.557,0.7,1.1,0.629,1.4,1.3,2.7,0.4,0.2,0.3,0.9,1.8,5.1
7,Jacob Grandison,3,JR,G,6-6,205,"Oakland, CA",Phillips Exeter Academy,,30,16,15.3,1.7,3.2,0.526,0.6,1.4,0.415,1.1,1.8,0.611,0.616,0.7,0.8,0.957,1.0,2.4,3.4,1.3,0.5,0.1,0.8,1.2,4.6
8,Coleman Hawkins,33,FR,F,6-10,200,"Sacramento, CA",Prolific Prep,,25,0,6.3,0.4,1.2,0.345,0.1,0.5,0.231,0.3,0.6,0.438,0.397,0.5,0.8,0.684,0.4,0.5,0.8,0.4,0.1,0.4,0.2,0.6,1.4
9,Jermaine Hamlin,34,SO,C,6-10,235,"Lincoln, IL",Lincoln (IL),,8,0,3.0,0.3,0.4,0.667,0.0,0.0,,0.3,0.4,0.667,0.667,0.5,1.0,0.5,0.0,0.4,0.4,0.0,0.0,0.1,0.1,0.6,1.0
10,Tyler Underwood,32,SR,G,6-2,180,"Stillwater, OK",Nacogdoches High School,,7,0,2.3,0.3,0.4,0.667,0.1,0.1,1.0,0.1,0.3,0.5,0.833,0.0,0.0,,0.0,0.3,0.3,0.0,0.0,0.0,0.1,0.3,0.7
11,Zach Griffith,4,SR,F,6-6,220,"Fisher, IL",Fishers HS,,7,1,3.1,0.3,0.3,1.0,0.0,0.0,,0.3,0.3,1.0,1.0,0.0,0.0,,0.1,0.7,0.9,0.0,0.0,0.0,0.1,0.1,0.6
12,Brandon Lieb,12,FR,C,7-0,210,"Deerfield, IL",Deerfield HS,,5,0,2.4,0.2,1.4,0.143,0.0,0.0,,0.2,1.4,0.143,0.143,0.4,0.4,1.0,0.8,0.4,1.2,0.2,0.0,0.2,0.6,0.0,0.8
13,Benjamin Bosmans-Verdonk,13,SO,F,6-8,235,"Lommel, Belgium",KA Pegasus (Belgium),,8,0,2.3,0.1,0.4,0.333,0.0,0.0,,0.1,0.4,0.333,0.333,0.0,0.0,,0.1,0.3,0.4,0.0,0.0,0.0,0.1,0.0,0.3
14,Connor Serven,2,FR,F,6-9,215,"Bushnell, IL",St. Rita HS,,7,0,1.9,0.1,0.1,1.0,0.0,0.0,,0.1,0.1,1.0,1.0,0.0,0.0,,0.1,0.1,0.3,0.0,0.0,0.0,0.1,0.3,0.3
