,Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
21,2021-02-23,7:00p,REG,Michigan State,,False,Big Ten,9.8,L,72,81,16,6,False,0,1,24,60,0.4,5,17,0.294,19,34,0.559,16,40,14,4,2,11,19,32,59,0.542,4,8,0.5,13,20,0.65,8,34,18,7,9,8,24
22,2021-02-25,7:00p,REG,Nebraska,,False,Big Ten,6.08,W,86,70,17,6,True,1,0,30,62,0.484,4,23,0.174,22,29,0.759,12,43,13,8,2,14,19,27,61,0.443,5,21,0.238,11,16,0.688,3,25,8,4,2,14,25
23,2021-02-27,2:00p,REG,Wisconsin,23.0,True,Big Ten,17.22,W,74,69,18,6,False,2,0,25,48,0.521,5,9,0.556,19,27,0.704,5,39,13,5,3,20,18,24,69,0.348,10,31,0.323,11,15,0.733,11,27,10,13,3,7,19
24,2021-03-02,7:00p,REG,Michigan,2.0,True,Big Ten,22.0,W,76,53,19,6,False,3,0,30,64,0.469,6,13,0.462,10,14,0.714,11,40,9,5,2,12,20,17,49,0.347,2,7,0.286,17,24,0.708,3,24,4,5,4,10,14
25,2021-03-06,4:00p,REG,Ohio State,7.0,True,Big Ten,18.25,W,73,68,20,6,False,4,0,27,52,0.519,4,12,0.333,15,24,0.625,10,34,12,4,1,9,14,26,65,0.4,9,29,0.31,7,11,0.636,11,31,10,4,5,9,24
26,2021-03-12,6:30p,CTOURN,Rutgers,,False,Big Ten,14.14,W,90,68,21,6,False,5,0,32,61,0.525,5,17,0.294,21,31,0.677,16,41,16,8,1,14,21,25,54,0.463,2,11,0.182,16,22,0.727,2,18,7,9,5,11,24
27,2021-03-13,3:30p,CTOURN,Iowa,5.0,True,Big Ten,21.4,W,82,71,22,6,False,6,0,32,66,0.485,3,15,0.2,15,20,0.75,8,39,22,7,6,8,14,26,64,0.406,8,24,0.333,11,14,0.786,6,34,19,5,3,12,18
28,2021-03-14,3:30p,CTOURN,Ohio State,9.0,True,Big Ten,18.25,W,91,88,23,6,False,7,0,29,64,0.453,9,21,0.429,24,32,0.75,13,40,15,5,2,10,23,29,65,0.446,8,25,0.32,22,30,0.733,8,35,11,7,4,8,26
29,2021-03-19,1:15p,NCAA,Drexel,,False,CAA,-0.97,W,78,49,24,6,False,8,0,36,63,0.571,2,6,0.333,4,8,0.5,5,38,19,5,3,5,11,19,62,0.306,7,20,0.35,4,4,1.0,6,29,10,2,3,9,10
30,2021-03-21,12:10p,NCAA,Loyola (IL),17.0,True,MVC,15.12,L,58,71,24,7,False,0,1,22,49,0.449,4,14,0.286,10,13,0.769,4,24,14,5,2,17,18,26,51,0.51,4,10,0.4,15,22,0.682,6,28,16,12,4,10,16
