,Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
0,2021-11-09,8:00p,REG,Jackson State,0,False,SWAC,-10.1,W,71,47,1,0,True,1,0,24,55,0.436,9,21,0.429,14,21,0.667,15,43,16,12,4,18,14,19,51,0.373,7,16,0.438,2,5,0.4,5,24,7,11,4,19,22
1,2021-11-12,9:00p,REG,Arkansas State,0,False,Sun Belt,-3.27,W,92,53,2,0,True,2,0,32,70,0.457,5,25,0.2,23,38,0.605,22,54,14,5,5,13,18,18,59,0.305,3,16,0.188,14,16,0.875,6,27,9,4,2,18,29
2,2021-11-15,7:00p,REG,Marquette,0,False,Big East,11.36,L,66,67,2,1,False,0,1,25,66,0.379,9,24,0.375,7,11,0.636,18,48,13,7,2,23,24,22,54,0.407,5,17,0.294,18,31,0.581,5,27,9,10,7,14,16
3,2021-11-22,6:30p,REG,Cincinnati,0,False,AAC,7.44,L,51,71,2,2,False,0,2,16,57,0.281,3,22,0.136,16,21,0.762,13,33,10,8,3,12,16,24,58,0.414,6,21,0.286,17,20,0.85,12,36,6,8,5,10,19
4,2021-11-23,7:00p,REG,Kansas State,0,False,Big 12,10.61,W,72,64,3,2,False,1,0,25,48,0.521,12,26,0.462,10,20,0.5,8,37,20,2,1,18,18,25,65,0.385,6,21,0.286,8,9,0.889,5,25,9,11,1,3,20
5,2021-11-26,8:00p,REG,Texas-Rio Grande Valley,0,False,WAC,-10.18,W,94,85,4,2,True,2,0,33,53,0.623,8,19,0.421,20,24,0.833,6,29,21,4,5,13,17,29,61,0.475,6,20,0.3,21,27,0.778,8,25,9,7,2,8,23
6,2021-11-29,9:00p,REG,Notre Dame,0,False,ACC,11.87,W,82,72,5,2,True,3,0,28,53,0.528,11,27,0.407,15,19,0.789,8,31,19,2,2,12,16,28,61,0.459,8,22,0.364,8,12,0.667,8,27,10,5,2,8,19
9,2021-12-03,7:00p,REG,Rutgers,0,False,Big Ten,8.78,L,59,70,18,7,False,0,1,32,66,0.485,12,33,0.364,10,11,0.909,12,45,19,8,6,10,10,21,68,0.309,7,17,0.412,2,4,0.5,11,27,14,5,2,13,15
7,2021-12-03,7:00p,REG,Rutgers,0,False,Big Ten,8.78,W,86,51,6,2,True,4,0,32,66,0.485,12,33,0.364,10,11,0.909,12,45,19,8,6,10,10,21,68,0.309,7,17,0.412,2,4,0.5,11,27,14,5,2,13,15
11,2021-12-06,7:00p,REG,Iowa,0,False,Big Ten,18.9,W,87,83,7,2,False,5,0,26,59,0.441,11,25,0.44,24,28,0.857,16,47,16,4,0,14,19,31,69,0.449,8,22,0.364,13,19,0.684,9,20,16,9,5,4,21
13,2021-12-06,7:30p,REG,Iowa,24,True,Big Ten,18.9,W,74,72,22,8,True,3,0,26,59,0.441,11,25,0.44,24,28,0.857,16,47,16,4,0,14,19,31,69,0.449,8,22,0.364,13,19,0.684,9,20,16,9,5,4,21
15,2021-12-11,5:00p,REG,Arizona,11,True,Pac-12,22.75,L,79,83,7,3,True,0,1,27,68,0.397,16,36,0.444,9,14,0.643,13,36,14,7,4,15,15,32,70,0.457,7,19,0.368,12,18,0.667,14,39,12,10,5,14,17
16,2021-12-18,1:00p,REG,Saint Francis (PA),0,False,NEC,-14.57,W,106,48,8,3,True,1,0,38,58,0.655,18,34,0.529,12,15,0.8,11,39,21,3,4,9,15,16,61,0.262,6,18,0.333,10,16,0.625,14,22,6,4,0,8,10
17,2021-12-22,9:00p,REG,Missouri,0,False,SEC,2.94,W,88,63,9,3,False,2,0,33,58,0.569,12,25,0.48,10,15,0.667,8,36,20,6,0,14,15,23,63,0.365,6,23,0.261,11,13,0.846,9,27,6,8,6,12,17
18,2022-01-04,7:00p,REG,Minnesota,0,False,Big Ten,5.93,W,76,53,10,3,False,3,0,27,59,0.458,6,14,0.429,16,19,0.842,10,47,18,3,6,13,14,22,62,0.355,3,15,0.2,6,13,0.462,4,23,10,11,2,6,16
21,2022-01-06,7:00p,REG,Maryland,0,False,Big Ten,9.34,L,65,81,13,5,False,0,2,28,68,0.412,8,30,0.267,12,18,0.667,17,41,9,4,2,6,13,23,50,0.46,6,16,0.375,12,20,0.6,4,26,9,5,2,7,15
19,2022-01-06,7:00p,REG,Maryland,0,False,Big Ten,9.34,W,76,64,11,3,True,4,0,28,68,0.412,8,30,0.267,12,18,0.667,17,41,9,4,2,6,13,23,50,0.46,6,16,0.375,12,20,0.6,4,26,9,5,2,7,15
23,2022-01-11,8:30p,REG,Nebraska,0,False,Big Ten,3.0,W,81,71,12,3,False,5,0,31,66,0.47,7,19,0.368,12,19,0.632,14,38,13,6,8,9,15,27,59,0.458,6,12,0.5,11,14,0.786,6,31,13,4,2,11,15
26,2022-01-14,2:00p,REG,Michigan,0,False,Big Ten,14.26,W,93,85,20,8,False,1,0,22,47,0.468,6,20,0.3,18,21,0.857,9,30,11,2,2,13,14,22,60,0.367,1,10,0.1,8,14,0.571,15,30,5,7,1,11,20
24,2022-01-14,9:00p,REG,Michigan,0,False,Big Ten,14.26,W,68,53,13,3,True,6,0,22,47,0.468,6,20,0.3,18,21,0.857,9,30,11,2,2,13,14,22,60,0.367,1,10,0.1,8,14,0.571,15,30,5,7,1,11,20
30,2022-01-17,9:00p,REG,Purdue,3,True,Big Ten,19.15,L,68,84,17,6,False,0,1,32,77,0.416,12,33,0.364,12,15,0.8,5,35,15,5,2,6,23,31,68,0.456,8,18,0.444,26,32,0.813,9,42,13,3,3,12,15
28,2022-01-17,12:00p,REG,Purdue,4,True,Big Ten,19.15,L,88,96,13,4,True,0,1,32,77,0.416,12,33,0.364,12,15,0.8,5,35,15,5,2,6,23,31,68,0.456,8,18,0.444,26,32,0.813,9,42,13,3,3,12,15
20,2022-01-21,7:00p,REG,Maryland,0,False,Big Ten,9.34,W,76,64,11,3,True,4,0,23,59,0.39,11,35,0.314,8,10,0.8,10,28,16,7,2,12,18,28,53,0.528,4,11,0.364,21,25,0.84,7,29,9,9,2,10,10
22,2022-01-21,7:00p,REG,Maryland,0,False,Big Ten,9.34,L,65,81,13,5,False,0,2,23,59,0.39,11,35,0.314,8,10,0.8,10,28,16,7,2,12,18,28,53,0.528,4,11,0.364,21,25,0.84,7,29,9,9,2,10,10
32,2022-01-25,7:00p,REG,Michigan State,10,True,Big Ten,13.18,W,56,55,14,5,True,1,0,22,53,0.415,9,29,0.31,3,7,0.429,4,25,14,2,2,6,17,19,55,0.345,3,14,0.214,14,17,0.824,11,38,9,5,6,10,15
34,2022-01-25,12:00p,REG,Michigan State,19,True,Big Ten,13.18,W,79,74,19,7,False,1,0,22,53,0.415,9,29,0.31,3,7,0.429,4,25,14,2,2,6,17,19,55,0.345,3,14,0.214,14,17,0.824,11,38,9,5,6,10,15
38,2022-01-29,2:00p,REG,Northwestern,0,False,Big Ten,8.91,W,73,66,18,6,True,1,0,22,51,0.431,5,18,0.278,10,15,0.667,5,34,14,4,4,13,15,20,56,0.357,6,18,0.333,10,12,0.833,5,26,7,6,2,8,20
36,2022-01-29,4:30p,REG,Northwestern,0,False,Big Ten,8.91,W,59,56,15,5,False,2,0,22,51,0.431,5,18,0.278,10,15,0.667,5,34,14,4,4,13,15,20,56,0.357,6,18,0.333,10,12,0.833,5,26,7,6,2,8,20
40,2022-02-02,9:00p,REG,Wisconsin,11,True,Big Ten,13.13,W,80,67,16,5,True,3,0,32,62,0.516,7,22,0.318,9,18,0.5,7,35,21,5,2,6,14,26,68,0.382,3,24,0.125,12,15,0.8,12,38,8,3,0,6,19
43,2022-02-05,11:30a,CTOURN,Indiana,0,False,Big Ten,12.71,L,63,65,22,9,False,0,1,23,48,0.479,10,23,0.435,18,26,0.692,3,29,13,5,5,8,17,20,56,0.357,3,13,0.231,14,18,0.778,8,28,11,4,3,10,20
41,2022-02-05,12:00p,REG,Indiana,0,False,Big Ten,12.71,W,74,57,17,5,False,4,0,23,48,0.479,10,23,0.435,18,26,0.692,3,29,13,5,5,8,17,20,56,0.357,3,13,0.231,14,18,0.778,8,28,11,4,3,10,20
29,2022-02-08,12:00p,REG,Purdue,4,True,Big Ten,19.15,L,88,96,13,4,True,0,1,24,58,0.414,8,26,0.308,12,15,0.8,7,26,13,4,2,9,20,31,61,0.508,9,22,0.409,13,18,0.722,8,30,16,5,5,9,16
