,Date,Time,Type,Opponent,Rank,Ranked Match,Conf,SRS,Result,PF,PA,W,L,Home Game,Win Streak,Lose Streak,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,OPP FG,OPP FGA,OPP FG%,OPP 3P,OPP 3PA,OPP 3P%,OPP FT,OPP FTA,OPP FT%,OPP ORB,OPP TRB,OPP AST,OPP STL,OPP BLK,OPP TOV,OPP PF
31,2022-02-08,9:00p,REG,Purdue,3,True,Big Ten,19.15,L,68,84,17,6,False,0,1,24,58,0.414,8,26,0.308,12,15,0.8,7,26,13,4,2,9,20,31,61,0.508,9,22,0.409,13,18,0.722,8,30,16,5,5,9,16
37,2022-02-13,4:30p,REG,Northwestern,0,False,Big Ten,8.91,W,59,56,15,5,False,2,0,25,58,0.431,10,29,0.345,13,19,0.684,8,43,15,7,3,19,14,24,62,0.387,7,24,0.292,11,18,0.611,3,27,10,12,2,13,22
39,2022-02-13,2:00p,REG,Northwestern,0,False,Big Ten,8.91,W,73,66,18,6,True,1,0,25,58,0.431,10,29,0.345,13,19,0.684,8,43,15,7,3,19,14,24,62,0.387,7,24,0.292,11,18,0.611,3,27,10,12,2,13,22
8,2022-02-16,7:00p,REG,Rutgers,0,False,Big Ten,8.78,W,86,51,6,2,True,4,0,22,58,0.379,6,23,0.261,9,16,0.563,7,26,15,8,3,9,16,28,59,0.475,5,15,0.333,9,14,0.643,13,42,14,9,2,13,16
10,2022-02-16,7:00p,REG,Rutgers,0,False,Big Ten,8.78,L,59,70,18,7,False,0,1,22,58,0.379,6,23,0.261,9,16,0.563,7,26,15,8,3,9,16,28,59,0.475,5,15,0.333,9,14,0.643,13,42,14,9,2,13,16
33,2022-02-19,7:00p,REG,Michigan State,10,True,Big Ten,13.18,W,56,55,14,5,True,1,0,27,60,0.45,8,27,0.296,17,23,0.739,11,33,17,6,1,8,17,29,62,0.468,8,21,0.381,8,12,0.667,9,32,18,5,4,11,20
35,2022-02-19,12:00p,REG,Michigan State,19,True,Big Ten,13.18,W,79,74,19,7,False,1,0,27,60,0.45,8,27,0.296,17,23,0.739,11,33,17,6,1,8,17,29,62,0.468,8,21,0.381,8,12,0.667,9,32,18,5,4,11,20
45,2022-02-24,9:00p,REG,Ohio State,22,True,Big Ten,14.17,L,83,86,19,8,True,0,1,30,63,0.476,12,25,0.48,11,17,0.647,7,24,15,7,0,9,22,27,52,0.519,6,12,0.5,26,32,0.813,4,27,7,3,5,11,18
25,2022-02-27,9:00p,REG,Michigan,0,False,Big Ten,14.26,W,68,53,13,3,True,6,0,34,60,0.567,10,17,0.588,15,25,0.6,7,26,13,4,0,9,20,29,57,0.509,5,15,0.333,22,25,0.88,6,25,12,6,2,11,19
27,2022-02-27,2:00p,REG,Michigan,0,False,Big Ten,14.26,W,93,85,20,8,False,1,0,34,60,0.567,10,17,0.588,15,25,0.6,7,26,13,4,0,9,20,29,57,0.509,5,15,0.333,22,25,0.88,6,25,12,6,2,11,19
46,2022-03-03,7:00p,REG,Penn State,0,False,Big Ten,8.72,W,60,55,21,8,True,2,0,18,50,0.36,9,28,0.321,15,17,0.882,9,28,11,6,3,8,9,23,55,0.418,8,25,0.32,1,3,0.333,4,27,8,4,0,9,17
14,2022-03-06,7:30p,REG,Iowa,24,True,Big Ten,18.9,W,74,72,22,8,True,3,0,26,62,0.419,8,22,0.364,14,18,0.778,10,38,16,2,5,11,19,27,62,0.435,8,21,0.381,10,22,0.455,10,34,13,5,4,10,19
12,2022-03-06,7:00p,REG,Iowa,0,False,Big Ten,18.9,W,87,83,7,2,False,5,0,26,62,0.419,8,22,0.364,14,18,0.778,10,38,16,2,5,11,19,27,62,0.435,8,21,0.381,10,22,0.455,10,34,13,5,4,10,19
42,2022-03-11,12:00p,REG,Indiana,0,False,Big Ten,12.71,W,74,57,17,5,False,4,0,20,56,0.357,8,22,0.364,15,23,0.652,9,34,15,5,5,7,13,26,56,0.464,3,10,0.3,10,13,0.769,3,33,16,4,2,7,19
44,2022-03-11,11:30a,CTOURN,Indiana,0,False,Big Ten,12.71,L,63,65,22,9,False,0,1,20,56,0.357,8,22,0.364,15,23,0.652,9,34,15,5,5,7,13,26,56,0.464,3,10,0.3,10,13,0.769,3,33,16,4,2,7,19
47,2022-03-18,6:50p,NCAA,Chattanooga,0,False,Southern,6.12,W,54,53,23,9,False,1,0,19,49,0.388,3,17,0.176,13,22,0.591,9,38,13,5,4,14,16,21,65,0.323,4,15,0.267,7,14,0.5,15,39,6,8,0,10,21
48,2022-03-20,12:10p,NCAA,Houston,15,True,AAC,22.55,L,53,68,23,10,False,0,1,17,50,0.34,6,25,0.24,13,16,0.813,6,27,11,6,2,15,15,25,59,0.424,6,22,0.273,12,17,0.706,15,38,10,8,6,8,16
