,Type,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,Team,29.1,62.0,.469,20.7,38.1,.544,8.3,23.9,.349,16.9,23.0,.736,12.8,28.1,40.9,13.3,4.4,3.8,10.6,15.2,83.4
1,Team-Rank,29th,39th,57th,47th,122nd,49th,88th,95th,127th,21st,26th,101st,29th,17th,8th,160th,351st,116th,291st,314th,10th
2,Opponent,27.5,63.6,.432,21.3,45.6,.468,6.1,18.0,.341,12.3,17.0,.721,10.0,23.1,33.1,12.1,5.7,3.2,8.7,18.6,73.3
3,Opponent-Rank,308th,346th,145th,346th,361st,45th,41st,25th,222nd,93rd,89th,202nd,165th,58th,82nd,203rd,72nd,157th,4th,316th,230th
